SL No,Org,OrgCode,fetch_name,payload,expected_response,actual_response,Result,query_count
1,Goa,GOACONFIGMERCHANT,get_tax_outstandingV3,"{""password"":""A123456"",""data"":{""payload"":{""house_no"":""19I/186/CL/4/1"",""mun_id"":""05""},""type"":""get_tax_outstandingV3""},""username"":""7207207201""}","{""success"": True, ""data"": {""response"": [{""SANITATION_TOTAL"": ""0"", ""MUN_ID"": ""05"", ""OCCUPIER_NAME"": ""RAHIMA S. SHAIKH (BUS. ACT.)"", ""DEMAND_WARRANT"": ""0"", ""COLN_ARREARS"": ""0"", ""DEMAND_CURRENT"": ""784"", ""ORDER_NO"": ""24094041*05*19I/186/CL/4/1*0*0"", ""INTEREST"": ""0"", ""DEMAND_INTEREST"": ""0"", ""AGGREGATOR"": ""EZETAP"", ""COLN_NOTICE"": ""0"", ""DEMAND_ARREARS"": ""0"", ""COLN_INTEREST"": ""0"", ""TAX_TOTAL"": ""784"", ""ADDRESS"": ""NEAR RASTOLI TEMPLE, NEW VADDEM, VASCO."", ""COLN_CURRENT"": ""0"", ""COLN_WARRANT"": ""0"", ""OUTSTANDING"": ""Y"", ""NAME_OWNER"": ""FRANCIS JHON RODRIGUES"", ""AMOUNT_PAYABLE"": ""784"", ""RECEIPT_NO"": ""5202203062"", ""HOUSE_NO"": ""19I/186/CL/4/1"", ""DEMAND_NOTICE"": ""0""}]}}","{""success"": True, ""data"": {""response"": [{""SANITATION_TOTAL"": ""0"", ""MUN_ID"": ""05"", ""OCCUPIER_NAME"": ""RAHIMA S. SHAIKH (BUS. ACT.)"", ""DEMAND_WARRANT"": ""0"", ""COLN_ARREARS"": ""0"", ""DEMAND_CURRENT"": ""784"", ""ORDER_NO"": ""24094041*05*19I/186/CL/4/1*0*0"", ""INTEREST"": ""0"", ""DEMAND_INTEREST"": ""0"", ""AGGREGATOR"": ""EZETAP"", ""COLN_NOTICE"": ""0"", ""DEMAND_ARREARS"": ""0"", ""COLN_INTEREST"": ""0"", ""TAX_TOTAL"": ""784"", ""ADDRESS"": ""NEAR RASTOLI TEMPLE, NEW VADDEM, VASCO."", ""COLN_CURRENT"": ""0"", ""COLN_WARRANT"": ""0"", ""OUTSTANDING"": ""Y"", ""NAME_OWNER"": ""FRANCIS JHON RODRIGUES"", ""AMOUNT_PAYABLE"": ""784"", ""RECEIPT_NO"": ""5202203062"", ""HOUSE_NO"": ""19I/186/CL/4/1"", ""DEMAND_NOTICE"": ""0""}]}}",Pass,1
2,Goa,GOACONFIGMERCHANT,get_trade_outstanding,"{""password"":""A123456"",""data"":{""payload"":{""licence_no"":""134"",""mun_id"":""12""},""type"":""get_trade_outstanding""},""username"":""7207207201""}","{""success"": True, ""data"": {""response"": [{""MSG"": ""Record not found"", ""ERROR_CODE"": ""7""}]}}","{""success"": True, ""data"": {""response"": [{""MSG"": ""Record not found"", ""ERROR_CODE"": ""7""}]}}",Pass,1
3,Goa,GOACONFIGMERCHANT,get_rental_outstanding,"{""password"":""A123456"",""data"":{""payload"":{""lease_no"":""15/95"",""mun_id"":""06""},""type"":""get_rental_outstanding""},""username"":""7207207201""}","{""success"": True, ""data"": {""response"": [{""LEASE_NO"": ""15/95"", ""MUN_ID"": ""06"", ""DEMAND_WARRANT"": ""0"", ""COLN_ARREARS"": ""0"", ""DEMAND_CURRENT"": ""2048"", ""ORDER_NO"": ""03102054*06*15/95*369*0"", ""SERVICETAX"": ""369"", ""DEMAND_INTEREST"": ""0"", ""AGGREGATOR"": ""EZETAP"", ""DEMAND_ARREARS"": ""0"", ""STAX_RATE"": ""18.0000"", ""COLN_INTEREST"": ""0"", ""ADDRESS"": ""95  MUNICIPAL MARKET   (4,8,7)  "", ""COLN_CURRENT"": ""0"", ""COLN_WARRANT"": ""0"", ""OUTSTANDING"": ""Y"", ""AMOUNT_PAYABLE"": ""2417"", ""LESSEE_NAME"": ""JERONIMO D`SOUZA"", ""RECEIPT_NO"": ""6202200985"", ""DEMAND_NOTICE"": ""0""}]}}","{""success"": True, ""data"": {""response"": [{""LEASE_NO"": ""15/95"", ""MUN_ID"": ""06"", ""DEMAND_WARRANT"": ""0"", ""COLN_ARREARS"": ""0"", ""DEMAND_CURRENT"": ""2048"", ""ORDER_NO"": ""03102054*06*15/95*369*0"", ""SERVICETAX"": ""369"", ""DEMAND_INTEREST"": ""0"", ""AGGREGATOR"": ""EZETAP"", ""DEMAND_ARREARS"": ""0"", ""STAX_RATE"": ""18.0000"", ""COLN_INTEREST"": ""0"", ""ADDRESS"": ""95  MUNICIPAL MARKET   (4,8,7)  "", ""COLN_CURRENT"": ""0"", ""COLN_WARRANT"": ""0"", ""OUTSTANDING"": ""Y"", ""AMOUNT_PAYABLE"": ""2417"", ""LESSEE_NAME"": ""JERONIMO D`SOUZA"", ""RECEIPT_NO"": ""6202200985"", ""DEMAND_NOTICE"": ""0""}]}}",Pass,1
4,Airtel,AIRTELULB_540943,get_airtel_pos_details,"{""password"":""A123456"",""data"":{""payload"":{""invoiceNumber"":""11108150""},""type"":""get_airtel_pos_details""},""username"":""7207207202""}","{""success"": True, ""data"": {""response"": [{""salesId"": ""-12105"", ""storeName"": ""Banaswadi OR"", ""performaInvoiceNo"": ""11108150"", ""customerName"": ""MADAN MOHARE"", ""payableAmount"": ""2000.0"", ""customerMobileNo"": ""9845417886"", ""storeCode"": ""020559"", ""status"": ""SUCCESS""}]}}","{""success"": True, ""data"": {""response"": [{""salesId"": ""-12105"", ""storeName"": ""Banaswadi OR"", ""performaInvoiceNo"": ""11108150"", ""customerName"": ""MADAN MOHARE"", ""payableAmount"": ""2000.0"", ""customerMobileNo"": ""9845417886"", ""storeCode"": ""020559"", ""status"": ""SUCCESS""}]}}",Pass,1
5,Airtel,AIRTELULB_540943,get_airtel_dth_details,"{""password"":""A123456"",""data"":{""payload"":{""dthId"":""3018671717""},""type"":""get_airtel_dth_details""},""employees"":""null"",""username"":""7207207202""}","{""success"": True, ""data"": {""response"": [{""Circle"": ""Delhi"", ""Amount"": ""474.00"", ""Error"": ""success"", ""Id"": ""3018671717"", ""Name"": ""DK Arora""}]}}","{""success"": True, ""data"": {""response"": [{""Circle"": ""Delhi"", ""Amount"": ""474.00"", ""Error"": ""success"", ""Id"": ""3018671717"", ""Name"": ""DK Arora""}]}}",Pass,1
6,Airtel,AIRTELULB_540943,get_airtel_rtn_details,"{""password"":""A123456"",""data"":{""payload"":{""rtnNumber"":""9676887222""},""type"":""get_airtel_rtn_details""},""employees"":""null"",""username"":""7207207202""}","{""success"": True, ""data"": {""response"": [{""keys"": [{""value"": ""3004588033""}], ""Error"": ""success""}]}}","{""success"": True, ""data"": {""response"": [{""keys"": [{""value"": ""3004588033""}], ""Error"": ""success""}]}}",Pass,1
7,Airtel,AIRTELULB_540943,get_rtn_dth_details,"{""password"":""A123456"",""data"":{""payload"":{""dthId"":""3004588033""},""type"":""get_rtn_dth_details""},""employees"":null,""username"":""7207207202""}","{""success"": True, ""data"": {""response"": [{""Circle"": ""Telangana"", ""Amount"": ""137.00"", ""Error"": ""success"", ""Id"": ""3004588033"", ""Name"": ""Ravikumar P""}]}}","{""success"": True, ""data"": {""response"": [{""Circle"": ""Telangana"", ""Amount"": ""137.00"", ""Error"": ""success"", ""Id"": ""3004588033"", ""Name"": ""Ravikumar P""}]}}",Pass,1
8,Airtel,AIRTELULB_540943,get_postpaid_Mobile,"{""password"":""A123456"",""data"":{""payload"":{""mobileNumber"":""9163043479""},""type"":""get_postpaid_Mobile""},""username"":""7207207202""}","{""success"": True, ""data"": {""response"": [{""msg"": ""success"", ""currentOutstanding"": ""2123"", ""_minAmount"": ""1"", ""airtelNo"": ""9163043479"", ""classification"": ""B2C"", ""customerName"": ""Prabir"", ""uSimUser"": ""YES"", ""customerAccountId"": ""1-3864996877484"", ""customerClass"": ""NO"", ""airtelCustomer"": ""No"", ""segment"": ""Retail"", ""_amountField"": ""2123.19"", ""circleId"": ""115(Kolkata)"", ""invoiceNo"": ""BM2319I000942526"", ""_maxAmount"": ""50000""}]}}","{""success"": True, ""data"": {""response"": [{""msg"": ""success"", ""currentOutstanding"": ""2123"", ""_minAmount"": ""1"", ""airtelNo"": ""9163043479"", ""classification"": ""B2C"", ""customerName"": ""Prabir"", ""uSimUser"": ""YES"", ""customerAccountId"": ""1-3864996877484"", ""customerClass"": ""NO"", ""airtelCustomer"": ""No"", ""segment"": ""Retail"", ""_amountField"": ""2123.19"", ""circleId"": ""115(Kolkata)"", ""invoiceNo"": ""BM2319I000942526"", ""_maxAmount"": ""50000""}]}}",Pass,1
9,Airtel,AIRTELULB_540943,get_postpaid_Account,"{""password"":""A123456"",""data"":{""payload"":{""mobileNumber"":""1-3775086096255""},""type"":""get_postpaid_Account""},""username"":""7207207202""}","{""success"": True, ""data"": {""response"": [{""msg"": ""success"", ""currentOutstanding"": ""214"", ""_minAmount"": ""1"", ""airtelNo"": ""1-3775086096255"", ""classification"": ""B2C"", ""customerName"": ""Kuvadiya"", ""uSimUser"": ""NO"", ""customerAccountId"": ""1-3775086096255"", ""customerClass"": ""NO"", ""airtelCustomer"": ""No"", ""segment"": ""Corporate"", ""_amountField"": ""214.49"", ""invoiceNo"": ""BM2324I001297728"", ""_maxAmount"": ""50000""}]}}","{""success"": True, ""data"": {""response"": [{""msg"": ""success"", ""currentOutstanding"": ""214"", ""_minAmount"": ""1"", ""airtelNo"": ""1-3775086096255"", ""classification"": ""B2C"", ""customerName"": ""Kuvadiya"", ""uSimUser"": ""NO"", ""customerAccountId"": ""1-3775086096255"", ""customerClass"": ""NO"", ""airtelCustomer"": ""No"", ""segment"": ""Corporate"", ""_amountField"": ""214.49"", ""invoiceNo"": ""BM2324I001297728"", ""_maxAmount"": ""50000""}]}}",Pass,1
10,Airtel,AIRTELULB_540943,get_fixedLine_Mobile,"{""password"":""A123456"",""data"":{""payload"":{""mobileNumber"":""01141550070""},""type"":""get_fixedLine_Mobile""},""username"":""7207207202""}","{""success"": True, ""data"": {""response"": [{""msg"": ""success"", ""currentOutstanding"": ""590"", ""_minAmount"": ""1"", ""airtelNo"": ""01141550070"", ""classification"": ""B2C"", ""customerName"": ""OM FASTNER"", ""uSimUser"": ""NO"", ""customerAccountId"": ""7035432683"", ""customerClass"": ""NO"", ""airtelCustomer"": ""No"", ""segment"": ""Commercial"", ""_amountField"": ""589.64"", ""invoiceNo"": ""HT2307I001735709"", ""_maxAmount"": ""50000""}]}}","{""success"": True, ""data"": {""response"": [{""msg"": ""success"", ""currentOutstanding"": ""590"", ""_minAmount"": ""1"", ""airtelNo"": ""01141550070"", ""classification"": ""B2C"", ""customerName"": ""OM FASTNER"", ""uSimUser"": ""NO"", ""customerAccountId"": ""7035432683"", ""customerClass"": ""NO"", ""airtelCustomer"": ""No"", ""segment"": ""Commercial"", ""_amountField"": ""589.64"", ""invoiceNo"": ""HT2307I001735709"", ""_maxAmount"": ""50000""}]}}",Pass,1
11,Airtel,AIRTELULB_540943,get_fixedLine_Account,"{""password"":""A123456"",""data"":{""payload"":{""mobileNumber"":""12299726""},""type"":""get_fixedLine_Account""},""username"":""7207207202""}","{""success"": True, ""data"": {""response"": [{""msg"": ""success"", ""currentOutstanding"": ""0"", ""_minAmount"": ""1"", ""airtelNo"": ""12299726"", ""classification"": ""B2C"", ""customerName"": ""Meenakshi"", ""uSimUser"": ""NO"", ""customerAccountId"": ""12299726"", ""customerClass"": ""NO"", ""airtelCustomer"": ""No"", ""segment"": ""Home"", ""_amountField"": ""0.07"", ""invoiceNo"": ""HT2329I001253462"", ""_maxAmount"": ""50000""}]}}","{""success"": True, ""data"": {""response"": [{""msg"": ""success"", ""currentOutstanding"": ""0"", ""_minAmount"": ""1"", ""airtelNo"": ""12299726"", ""classification"": ""B2C"", ""customerName"": ""Meenakshi"", ""uSimUser"": ""NO"", ""customerAccountId"": ""12299726"", ""customerClass"": ""NO"", ""airtelCustomer"": ""No"", ""segment"": ""Home"", ""_amountField"": ""0.07"", ""invoiceNo"": ""HT2329I001253462"", ""_maxAmount"": ""50000""}]}}",Pass,1
12,Airtel,AIRTELULB_540943,get_prepaid_details,"{""password"":""A123456"",""data"":{""payload"":{""mobileNumber"":""9928020417"",""mobileNumber2"":""9928202417""},""type"":""get_prepaid_details""},""username"":""7207207202""}","{""success"": True, ""data"": {""response"": [{""msg"": ""success"", ""cust_cat"": ""SILVERNEW"", ""si"": ""919988735802"", ""cust_type"": ""SILVERNEW"", ""si_lob"": ""PREPAID"", ""si_sts"": ""ACTIV"", ""arpu"": ""0"", ""circle"": ""Punjab"", ""act_date"": ""20220506131650"", ""si_seg"": ""Silver 3"", ""cust_tier"": ""SILVER""}]}}","{""success"": True, ""data"": {""response"": [{""msg"": ""success"", ""cust_cat"": ""SILVERNEW"", ""si"": ""919988735802"", ""cust_type"": ""SILVERNEW"", ""si_lob"": ""PREPAID"", ""si_sts"": ""ACTIV"", ""arpu"": ""0"", ""circle"": ""Punjab"", ""act_date"": ""20220506131650"", ""si_seg"": ""Silver 3"", ""cust_tier"": ""SILVER""}]}}",Pass,1
